player1_name,player1_age,player1_height,player1_ranking_points,player1_elo,winner_hand_1,winner_hand_2,player1_wins,player1_losses,player1_total_games,player1_W/total_games,player1_Wins_per_surface,player1_Losses_per_surface,player1_total_games_per_surface,player1_W/total_games_per_surface,player1_won_h2h,player2_name,player2_age,player2_height,player2_ranking_points,player2_elo,loser_hand_1,loser_hand_2,player2_wins,player2_losses,player2_total_games,player2_W/total_games,player2_Wins_per_surface,player2_Losses_per_surface,player2_total_games_per_surface,player2_W/total_games_per_surface,player2_won_h2h,games_h2h,player1_winrate,surface_1,surface_2,draw_size_1,draw_size_2,draw_size_3,draw_size_4,draw_size_5,best_of_3,round_1,round_2,round_3,round_4,round_5,round_6,round_7,outcome
Leonardo Mayer,32.7994524298,188.0,464.0,1494.2366333632249,0.0,0.0,0.0,6.0,6.0,0.0,0.0,4.0,4.0,0.0,0,Daniel Elahi Galan,23.704312115,,379.0,1501.8038766400946,0.0,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jordan Thompson,25.8672142368,,823.0,1597.7970775494978,0.0,1.0,3.0,5.0,8.0,37.5,3.0,5.0,8.0,37.5,0,Thiago Monteiro,25.7549623546,,699.0,1531.2330487176928,1.0,0.0,6.0,6.0,12.0,50.0,1.0,2.0,3.0,33.333333333333336,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Martin Cuevas,28.131416837800003,,61.0,1409.4076816439972,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,Dennis Novak,26.5106091718,,686.0,1502.7321457496018,0.0,1.0,2.0,6.0,8.0,25.0,2.0,6.0,8.0,25.0,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Ruben Bemelmans,32.1314168378,,215.0,1478.8719634373815,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Attila Balazs,31.427789185500004,180.0,715.0,1610.3149707741356,0.0,1.0,4.0,2.0,6.0,66.66666666666667,4.0,2.0,6.0,66.66666666666667,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Prajnesh Gunneswaran,30.302532512,,405.0,1433.2578416614385,0.0,0.0,1.0,3.0,4.0,25.0,1.0,3.0,4.0,25.0,0,Borna Gojo,22.009582477800002,,162.0,1484.8566413238939,1.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Jiri Vesely,26.6447638604,,785.0,1611.3929507458568,1.0,0.0,5.0,1.0,6.0,83.33333333333333,0.0,0.0,0.0,,0,Jozef Kovalik,27.3237508556,,447.0,1438.847565839833,0.0,1.0,1.0,3.0,4.0,25.0,1.0,2.0,3.0,33.333333333333336,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Ilya Ivashka,26.0177960301,,396.0,1529.3700797760691,0.0,1.0,2.0,3.0,5.0,40.0,2.0,3.0,5.0,40.0,0,Jan Lennard Struff,29.853524982899998,,1315.0,1704.885623566061,0.0,1.0,6.0,7.0,13.0,46.15384615384615,6.0,7.0,13.0,46.15384615384615,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Emilio Gomez,28.2600958248,,365.0,1530.8131234482698,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,Go Soeda,35.4880219028,178.0,480.0,1487.3503016171037,0.0,1.0,2.0,2.0,4.0,50.0,2.0,2.0,4.0,50.0,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Mikhail Kukushkin,32.1834360027,183.0,661.0,1570.228434813576,0.0,1.0,2.0,6.0,8.0,25.0,2.0,6.0,8.0,25.0,0,Robin Haase,32.9062286105,190.0,305.0,1593.0194501824303,0.0,1.0,2.0,1.0,3.0,66.66666666666667,2.0,1.0,3.0,66.66666666666667,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Mikael Ymer,21.478439425100003,,759.0,1578.0525229316775,0.0,1.0,4.0,5.0,9.0,44.44444444444444,4.0,5.0,9.0,44.44444444444444,0,Marcelo Tomas Barrios Vera,22.225872689899997,,154.0,1498.6942897693984,0.0,0.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Denis Istomin,33.483915126599996,188.0,339.0,1493.7648446136886,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0,Reilly Opelka,22.5106091718,,1177.0,1706.5601752725336,0.0,1.0,6.0,5.0,11.0,54.54545454545455,6.0,5.0,11.0,54.54545454545455,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Damir Dzumhur,27.783709787800003,172.0,524.0,1505.3657776185037,0.0,1.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,0.0,0,Ruan Roelofse,30.2861054073,,36.0,1441.1139614604779,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Jose Hernandez,29.971252566700002,,142.0,1475.1018578594915,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Hugo Dellien,26.7104722793,,638.0,1482.686592513122,0.0,0.0,2.0,5.0,7.0,28.571428571428573,2.0,4.0,6.0,33.333333333333336,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Benjamin Hassan,25.073237508600002,,109.0,1567.1867316212902,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Jirat Navasirisomboon,23.288158795300003,,2.0,1508.4872197312022,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Laurynas Grigelis,28.550308008200002,183.0,59.0,1468.357303194657,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,Frederico Ferreira Silva,24.958247775500002,,268.0,1489.8997881438054,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
