Wins,Losses,total_games,W/total_games,Wins_per_surface,Losses_per_surface,total_games_per_surface,W/total_games_per_surface,player_name,winner,loser,tourney name
0,4,4,0.0,0,0,0,,Daniel Elahi Galan,Daniel Elahi Galan,Leonardo Mayer,Davis Cup QLS R1: ARG vs COL
0,6,6,0.0,0,4,4,0.0,Leonardo Mayer,Daniel Elahi Galan,Leonardo Mayer,Davis Cup QLS R1: ARG vs COL
3,5,8,37.5,3,5,8,37.5,Jordan Thompson,Jordan Thompson,Thiago Monteiro,Davis Cup QLS R1: AUS vs BRA
6,6,12,50.0,1,2,3,33.333333333333336,Thiago Monteiro,Jordan Thompson,Thiago Monteiro,Davis Cup QLS R1: AUS vs BRA
2,6,8,25.0,2,6,8,25.0,Dennis Novak,Dennis Novak,Martin Cuevas,Davis Cup QLS R1: AUT vs URU
0,1,1,0.0,0,1,1,0.0,Martin Cuevas,Dennis Novak,Martin Cuevas,Davis Cup QLS R1: AUT vs URU
0,0,0,,0,0,0,,Ruben Bemelmans,Ruben Bemelmans,Attila Balazs,Davis Cup QLS R1: BEL vs HUN
4,2,6,66.66666666666667,4,2,6,66.66666666666667,Attila Balazs,Ruben Bemelmans,Attila Balazs,Davis Cup QLS R1: BEL vs HUN
0,2,2,0.0,0,2,2,0.0,Borna Gojo,Borna Gojo,Prajnesh Gunneswaran,Davis Cup QLS R1: CRO vs IND
1,3,4,25.0,1,3,4,25.0,Prajnesh Gunneswaran,Borna Gojo,Prajnesh Gunneswaran,Davis Cup QLS R1: CRO vs IND
5,1,6,83.33333333333333,0,0,0,,Jiri Vesely,Jiri Vesely,Jozef Kovalik,Davis Cup QLS R1: CZE vs SVK
1,3,4,25.0,1,2,3,33.333333333333336,Jozef Kovalik,Jiri Vesely,Jozef Kovalik,Davis Cup QLS R1: CZE vs SVK
6,7,13,46.15384615384615,6,7,13,46.15384615384615,Jan Lennard Struff,Jan Lennard Struff,Ilya Ivashka,Davis Cup QLS R1: GER vs BLR
2,3,5,40.0,2,3,5,40.0,Ilya Ivashka,Jan Lennard Struff,Ilya Ivashka,Davis Cup QLS R1: GER vs BLR
0,1,1,0.0,0,1,1,0.0,Emilio Gomez,Emilio Gomez,Go Soeda,Davis Cup QLS R1: JPN vs ECU
2,2,4,50.0,2,2,4,50.0,Go Soeda,Emilio Gomez,Go Soeda,Davis Cup QLS R1: JPN vs ECU
2,1,3,66.66666666666667,2,1,3,66.66666666666667,Robin Haase,Robin Haase,Mikhail Kukushkin,Davis Cup QLS R1: KAZ vs NED
2,6,8,25.0,2,6,8,25.0,Mikhail Kukushkin,Robin Haase,Mikhail Kukushkin,Davis Cup QLS R1: KAZ vs NED
4,5,9,44.44444444444444,4,5,9,44.44444444444444,Mikael Ymer,Mikael Ymer,Marcelo Tomas Barrios Vera,Davis Cup QLS R1: SWE vs CHI
1,1,2,50.0,0,0,0,,Marcelo Tomas Barrios Vera,Mikael Ymer,Marcelo Tomas Barrios Vera,Davis Cup QLS R1: SWE vs CHI
6,5,11,54.54545454545455,6,5,11,54.54545454545455,Reilly Opelka,Reilly Opelka,Denis Istomin,Davis Cup QLS R1: USA vs UZB
0,1,1,0.0,0,1,1,0.0,Denis Istomin,Reilly Opelka,Denis Istomin,Davis Cup QLS R1: USA vs UZB
0,5,5,0.0,0,5,5,0.0,Damir Dzumhur,Damir Dzumhur,Ruan Roelofse,Davis Cup WG1 PO: BIH vs RSA
0,0,0,,0,0,0,,Ruan Roelofse,Damir Dzumhur,Ruan Roelofse,Davis Cup WG1 PO: BIH vs RSA
2,5,7,28.571428571428573,2,4,6,33.333333333333336,Hugo Dellien,Hugo Dellien,Jose Hernandez,Davis Cup WG1 PO: BOL vs DOM
0,0,0,,0,0,0,,Jose Hernandez,Hugo Dellien,Jose Hernandez,Davis Cup WG1 PO: BOL vs DOM
0,0,0,,0,0,0,,Benjamin Hassan,Benjamin Hassan,Jirat Navasirisomboon,Davis Cup WG1 PO: LBN vs THA
0,0,0,,0,0,0,,Jirat Navasirisomboon,Benjamin Hassan,Jirat Navasirisomboon,Davis Cup WG1 PO: LBN vs THA
0,0,0,,0,0,0,,Frederico Ferreira Silva,Frederico Ferreira Silva,Laurynas Grigelis,Davis Cup WG1 PO: LTU vs POR
0,0,0,,0,0,0,,Laurynas Grigelis,Frederico Ferreira Silva,Laurynas Grigelis,Davis Cup WG1 PO: LTU vs POR
0,0,0,,0,0,0,,Patrik Niklas Salminen,Patrik Niklas Salminen,Manuel Sanchez,Davis Cup WG1 PO: MEX vs FIN
0,0,0,,0,0,0,,Manuel Sanchez,Patrik Niklas Salminen,Manuel Sanchez,Davis Cup WG1 PO: MEX vs FIN
0,3,3,0.0,0,3,3,0.0,Viktor Durasovic,Viktor Durasovic,Darian King,Davis Cup WG1 PO: NOR vs BAR
0,0,0,,0,0,0,,Darian King,Viktor Durasovic,Darian King,Davis Cup WG1 PO: NOR vs BAR
0,0,0,,0,0,0,,Aisam Ul Haq Qureshi,Aisam Ul Haq Qureshi,Nik Razborsek,Davis Cup WG1 PO: PAK vs SLO
