Id,Player,
1,Novak Djokovic,
2,Rafael Nadal,
3,Dominic Thiem,
4,Daniil Medvedev,
5,Roger Federer,
6,Stefanos Tsitsipas,
7,Alexander Zverev,
8,Andrey Rublev,
9,Diego Schwartzman,
10,Matteo Berrettini,
11,Gael Monfils,
12,Denis Shapovalov,
13,Roberto Bautista Agut,
14,Milos Raonic,
15,David Goffin,
16,Pablo Carreno Busta,
17,Fabio Fognini,
18,Stan Wawrinka,
19,Felix Auger-Aliassime,
20,Karen Khachanov,
21,Grigor Dimitrov,
22,Cristian Garin,
23,Alex de Minaur,
24,John Isner,
25,Borna Coric,
26,Daniel Evans,
27,Dusan Lajovic,
28,Casper Ruud,
29,Benoit Paire,
30,Hubert Hurkacz,
31,Taylor Fritz,
32,Jannik Sinner,
33,Filip Krajinovic,
34,Ugo Humbert,
35,Lorenzo Sonego,
36,Adrian Mannarino,
37,Jan-Lennard Struff,
38,Reilly Opelka,
39,John Millman,
40,Nikoloz Basilashvili,
41,Miomir Kecmanovic,
42,Kei Nishikori,
43,Marin Cilic,
44,Guido Pella,
45,Alexander Bublik,
46,Albert Ramos-Vinolas,
47,Nick Kyrgios,
48,Richard Gasquet,
49,Jordan Thompson,
50,Kyle Edmund,
51,Tennys Sandgren,
52,Sam Querrey,
53,Tommy Paul,
54,Alejandro Davidovich Fokina,
55,Marton Fucsovics,
56,Laslo Djere,
57,Aljaz Bedene,
58,Yoshihito Nishioka,
59,Pablo Andujar,
60,Stefano Travaglia,
61,Jeremy Chardy,
62,Jo-Wilfried Tsonga,
63,Vasek Pospisil,
64,Frances Tiafoe,
65,Feliciano Lopez,
66,Gilles Simon,
67,Fernando Verdasco,
68,Jiri Vesely,
69,Cameron Norrie,
70,Dominik Koepfer,
71,Corentin Moutet,
72,Pablo Cuevas,
73,Ricardas Berankis,
74,Thiago Monteiro,
75,Marcos Giron,
76,Lucas Pouille,
77,Steve Johnson,
78,Salvatore Caruso,
79,Egor Gerasimov,
80,Federico Delbonis,
81,Kevin Anderson,
82,Marco Cecchinato,
83,Juan Ignacio Londero,
84,Pierre-Hugues Herbert,
85,Radu Albot,
86,Emil Ruusuvuori,
87,Pedro Martinez,
88,Sebastian Korda,
89,Norbert Gombos,
90,Mikhail Kukushkin,
91,Lloyd Harris,
92,Federico Coria,
93,Joao Sousa,
94,Attila Balazs,
95,Mikael Ymer,
96,Gianluca Mager,
