Id,Player
1,Novak Djokovic,
2,Rafael Nadal,
3,Dominic Thiem,
4,Daniil Medvedev,
5,Roger Federer,
6,Stefanos Tsitsipas,
7,Alexander Zverev,
8,Andrey Rublev,
9,Diego Schwartzman,
10,Matteo Berrettini,
11,Gael Monfils,
12,Denis Shapovalov,
13,Roberto Bautista Agut,
14,David Goffin,
15,Milos Raonic,
16,Pablo Carreno Busta,
17,Fabio Fognini,
18,Stan Wawrinka,
19,Grigor Dimitrov,
20,Karen Khachanov,
21,Felix Auger-Aliassime,
22,Cristian Garin,
23,Alex de Minaur,
24,John Isner,
25,Borna Coric,
26,Dusan Lajovic,
27,Casper Ruud,
28,Benoit Paire,
29,Hubert Hurkacz,
30,Taylor Fritz,
31,Filip Krajinovic,
32,Ugo Humbert,
33,Daniel Evans,
34,Lorenzo Sonego,
35,Adrian Mannarino,
36,Jannik Sinner,
37,Jan-Lennard Struff,
38,John Millman,
39,Nikoloz Basilashvili,
40,Reilly Opelka,
41,Kei Nishikori,
42,Miomir Kecmanovic,
43,Marin Cilic,
44,Guido Pella,
45,Alexander Bublik,
46,Albert Ramos-Vinolas,
47,Nick Kyrgios,
48,Richard Gasquet,
49,Kyle Edmund,
50,Tennys Sandgren,
51,Sam Querrey,
52,Jordan Thompson,
53,Tommy Paul,
54,Alejandro Davidovich Fokina,
55,Marton Fucsovics,
56,Laslo Djere,
57,Yoshihito Nishioka,
58,Aljaz Bedene,
59,Pablo Andujar,
60,Jo-Wilfried Tsonga,
61,Vasek Pospisil,
62,Frances Tiafoe,
63,Feliciano Lopez,
64,Gilles Simon,
65,Fernando Verdasco,
66,Jeremy Chardy,
67,Cameron Norrie,
68,Dominik Koepfer,
69,Jiri Vesely,
70,Pablo Cuevas,
71,Stefano Travaglia,
72,Ricardas Berankis,
73,Marcos Giron,
74,Lucas Pouille,
75,Steve Johnson,
76,Salvatore Caruso,
77,Federico Delbonis,
78,Egor Gerasimov,
79,Marco Cecchinato,
80,Corentin Moutet,
81,Juan Ignacio Londero,
82,Kevin Anderson,
83,Thiago Monteiro,
84,Pierre-Hugues Herbert,
85,Radu Albot,
86,Emil Ruusuvuori,
87,Pedro Martinez,
88,Norbert Gombos,
89,Mikhail Kukushkin,
90,Lloyd Harris,
91,Federico Coria,
92,Joao Sousa,
93,Attila Balazs,
94,Mikael Ymer,
95,Gianluca Mager,
