id,big_id,Player
1,104925,Novak Djokovic
2,104745,Rafael Nadal
3,106233,Dominic Thiem
4,106421,Daniil Medvedev
5,103819,Roger Federer
6,126774,Stefanos Tsitsipas
7,100644,Alexander Zverev
8,126094,Andrey Rublev
9,106043,Diego Schwartzman
10,126610,Matteo Berrettini
11,104792,Gael Monfils
12,133430,Denis Shapovalov
13,105138,Roberto Bautista Agut
14,105683,Milos Raonic
15,105676,David Goffin
16,105807,Pablo Carreno Busta
17,104926,Fabio Fognini
18,104527,Stan Wawrinka
19,200000,Felix Auger Aliassime
20,111575,Karen Khachanov
21,105777,Grigor Dimitrov
22,106426,Christian Garin
23,200282,Alex De Minaur
24,104545,John Isner
25,106432,Borna Coric
26,105554,Daniel Evans
27,105583,Dusan Lajovic
28,134770,Casper Ruud
29,105332,Benoit Paire
30,128034,Hubert Hurkacz
31,126203,Taylor Fritz
32,206173,Jannik Sinner
33,105936,Filip Krajinovic
34,200005,Ugo Humbert
35,132283,Lorenzo Sonego
36,105173,Adrian Mannarino
37,105526,Jan Lennard Struff
38,124187,Reilly Opelka
39,105357,John Millman
40,105932,Nikoloz Basilashvili
41,200175,Miomir Kecmanovic
42,105453,Kei Nishikori
43,105227,Marin Cilic
44,105550,Guido Pella
45,122330,Alexander Bublik
47,106401,Nick Kyrgios
48,104755,Richard Gasquet
49,111442,Jordan Thompson
50,106378,Kyle Edmund
51,105815,Tennys Sandgren
52,105023,Sam Querrey
53,126205,Tommy Paul
54,200221,Alejandro Davidovich Fokina
55,105916,Marton Fucsovics
56,111513,Laslo Djere
57,105379,Aljaz Bedene
58,106415,Yoshihito Nishioka
59,104665,Pablo Andujar
60,105882,Stefano Travaglia
61,104871,Jeremy Chardy
62,104542,Jo-Wilfried Tsonga
63,105577,Vasek Pospisil
64,126207,Frances Tiafoe
65,103852,Feliciano Lopez
66,104468,Gilles Simon
67,104269,Fernando Verdasco
68,106210,Jiri Vesely
69,111815,Cameron Norrie
70,136440,Dominik Koepfer
71,144895,Corentin Moutet
72,104655,Pablo Cuevas
73,105575,Ricardas Berankis
74,106329,Thiago Monteiro
75,106218,Marcos Giron
76,106298,Lucas Pouille
77,105449,Steve Johnson
78,106099,Salvatore Caruso
79,106078,Egor Gerasimov
80,105643,Federico Delbonis
81,104731,Kevin Anderson
82,106065,Marco Cecchinato
83,106228,Juan Ignacio Londero
84,105732,Pierre Hugues Herbert
85,105430,Radu Albot
86,200325,Emil Ruusuvuori
87,124079,Pedro Martinez
88,200624,Sebastian Korda
89,105613,Norbert Gombos
90,105062,Mikhail Kukushkin
91,144750,Lloyd Harris
92,105948,Federico Coria
93,105311,Joao Sousa
94,105226,Attila Balazs
95,144707,Mikael Ymer
96,126149,Gianluca Mager
